nombre,categoria,confianza,lat,lon,macrocategoria,fecha_extraccion,poligono,fuente,momento,release_overture
De La Rosa Lenceria,clothing_store,0.52,3.42712986,-76.5421286,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Kundalini DiHartz,sin_categoria,0.26,3.42697,-76.54196,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Corporación Juan Bosco,community_services_non_profits,0.7,3.42765439,-76.54179789,Comunitario e institucional,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dra. Grisel Isaac - Clínica Integrativa,health_and_medical,0.72,3.42658,-76.54163,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Corte y Grabado Laser,professional_services,0.38,3.42760713,-76.54160385,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Centro Medico Veterinario Megamascotas,veterinarian,0.43,3.42639549,-76.54157396,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
SHE Worldwide Bodyshapers,sin_categoria,0.09,3.4265695358701134,-76.54158466471125,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Doctor Javier Velásquez Bedoya,sin_categoria,0.58,3.42628277,-76.54139797,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Maser Ltda,environmental_and_ecological_services_for_businesses,0.61,3.426938,-76.541394,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
OvniTiendas,food_delivery_service,0.27,3.42668,-76.54131,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Clic Medical,medical_supply,0.21,3.42690444,-76.54117607,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Academia Cecap,education,0.61,3.42593685,-76.54104474,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Inmobiliaria J.G. Valencia,real_estate,0.29,3.42696704,-76.54099027,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
FH Beauty Glam,beauty_salon,0.3,3.426263465582707,-76.54093444471894,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tango Vivo & Salsa Viva,dance_school,0.77,3.426537699643191,-76.54087246358898,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La 36,landmark_and_historical_building,0.11,3.4256575,-76.54081899,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Academia Musical Preludio Ltda.,music_school,0.77,3.4254577,-76.5408442,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Hoteles en Cali - Hotel Siglo 21,hotel,0.71,3.42617886,-76.54080497,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Live Salsa and Tango Vivo,dance_school,0.41,3.42640366,-76.54071401,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
consenteMENt,day_spa,0.41,3.42523567,-76.54068767,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
PhotoCapture,professional_services,0.18,3.42551997,-76.54069319,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Bienestar Integral,health_and_medical,0.39,3.4260024,-76.5406941,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Paladar Sur,restaurant,0.97,3.42526064,-76.54065893,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Labor Sonrisas,dentist,0.78,3.425957,-76.54058101,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Optica Imbanaco,eyewear_and_optician,0.64,3.42534529,-76.54054895,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
LA PLÁNTULA Garden Co.,landscape_architect,0.77,3.4255715,-76.5405489,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Salomon & Compania,lawyer,0.56,3.42557378,-76.54052528,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Karen's Pizza,pizza_restaurant,0.88,3.42532061,-76.54051896,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Representaciones Hospitalarias FEYA,health_and_medical,0.22,3.42579071,-76.54047712,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Consultorio Medico,health_and_medical,0.38,3.42611707,-76.54047374,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Amkornet distribuidores,cosmetic_and_beauty_supplies,0.23,3.42579989,-76.54047815,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Extremeflex Col,sports_and_fitness_instruction,0.27,3.42668,-76.54045,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Manada House,pet_store,0.28,3.42614937,-76.54044722,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dumashe Cali San Fernando,hair_supply_stores,0.46,3.4258162,-76.54045547,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
